recovery_id,tag_code,tag_status,Vessel_type,Cruise_no,Haul_or_Delivery_no,species_name_by_observer,Missing_Fins,sample:in_or_out?,recovery_date,run_year,Lat,latmin,Hem,Long,Longm,Bear,Area,sex,gonad_m,length,weight,Other_comments,Date_entered,Plant_recovery,detection_method,sampling_site,Date_snout_sent_to_ABL,Detected_with,sampling_,fishery,gear_name,Report_code,New_data,length_code,length_type,weight_code,weight_type,recorded_mark,location_type,hssector,specimen_number,ADFG_stat_area,Initials_CWT_reade
2018170010,91052,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180609,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,490,1.5, 1.5 length                                                        ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,18,495730,                    
2018170009,91052,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181024,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,530,2.1, 1.5 length                                                        ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,23,505800,                    
2018170008,211166,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180504,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,420,1,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,4,485730,                    
2018170007,200120,1, Rockfish          ,                    ,                               , chinook                  , Ad               , in                      ,20180508,2018,             ,        ,          ,        ,       ,             ,620, M      ,         ,450,1,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,6, 545602 (50%)       ,                    
2018170006,636968,1, Rockfish          ,                    ,                               , Chinook                  , None             , in                      ,20180504,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,460,1.2,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,1,505800,                    
2018170005,211136,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180508,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,680,4,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,7,525630,                    
2018170004,44297,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181114,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,750,5.9,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,28,515700,                    
2018170003,90919,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180505,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,650,3.2, 1.5 length                                                        ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,5,495730,                    
2018170002,44370,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181024,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,620,3.3,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,24,505800,                    
2018170001,184369,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181024,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,540,2.5,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,25,505800,                    
2017170014,182083,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20171115,2017,49,57,          ,        ,       ,             ,630, M      ,         ,720,5.2, ? Tag code                                                        ,20171208, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP18            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,14,495730,                    
2017170013,91050,1, Rockfish          ,                    ,                               , Chinook                  , None             , in                      ,20171109,2017,49,58,          ,        ,       ,             ,630, F      ,         ,370,0.5, 1.5 length tag                                                    ,20171208, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP18            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,13, 495800 (50%);      ,                    
