,state/prov,F/M,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,description,rmpc_region,rmpc_basin,Rec area-W,Rec area.Shelton,Rec area.Shelton2,Rec area.Shelton3,Rec.area.Sullaway.Shelton,Rec.area.GS.nmfs
9052,3,M,3M10412  C,1,SOUTH HOOD CANAL 12C,NA,NA,HOODG,HOOD,SOUTH HOOD CANAL          (12C),HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9053,3,M,3M10412  D,1,SE HOOD CANAL    12D,NA,NA,HOODG,HOOD,SOUTHEASTERN HOOD CANAL   (12D),HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9054,3,M,3M10412  E,1,SOUTH HOOD CANAL 12E,NA,NA,HOODG,HOOD,SOUTH HOOD CANAL          (12E)  (COMBINED W/12D IN 1979),HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9055,3,M,3M10412  H,1,SOUTH HOOD CANAL 12H,NA,NA,HOODG,HOOD,SOUTH HOOD CANAL          (12H)    (SUBUNIT OF 12C ADJACENT TO HOODSPORT HATCHERY),HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9056,3,M,3M10412X1,1,12 & 12B & 12C,NA,NA,HOODG,HOOD,COMBINATION OF 12  12B & 12C,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9057,3,M,3M10412X1  X12,1,12  PLUS 12B & 12C,NA,NA,HOODG,HOOD,12  COMBINED WITH 12B  & 12C,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9058,3,M,3M10412X1  X12B,1,12B PLUS 12  & 12C,NA,NA,HOODG,HOOD,12B COMBINED WITH 12   & 12C,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9059,3,M,3M10412X1  X12C,1,12C PLUS 12  & 12B,NA,NA,HOODG,HOOD,12C COMBINED WITH 12   & 12B,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9060,3,M,3M10412X2,1,AREA 12 AND AREA 12B,NA,NA,HOODG,HOOD,COMBINATION OF AREA 12 AND AREA 12B,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9061,3,M,3M10412X2  X12,1,AREA 12 & AREA 12B,NA,NA,HOODG,HOOD,12  COMBINED WITH 12B,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9062,3,M,3M10412X2  X12B,1,AREA 12B & AREA 12,NA,NA,HOODG,HOOD,12B COMBINED WITH 12,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9063,3,M,3M10412X3,1,12C & SKOK.R & PURDY,NA,NA,HOODG,HOOD,COMBINATION OF 12C  SKOKOMISH RIVER AND PURDY CREEK,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9064,3,M,3M10412X3  X12C,1,12C PLUS SKOK +PURDY,NA,NA,HOODG,HOOD,12C COMBINED WITH SKOKOMISH RIVER AND PURDY CREEK,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9065,3,M,3M10412X3  XPUR,1,PURDY PLUS 12C +SKOK,NA,NA,HOODG,HOOD,PURDY CREEK COMBINED WITH 12C AND SKOKOMISH RIVER,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9066,3,M,3M10412X3  XSKO,1,SKOK PLUS 12C +PURDY,NA,NA,HOODG,HOOD,SKOKOMISH RIVER COMBINED WITH 12C AND PURDY CREEK,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9067,3,M,3M10412X4,1,AREAS 12A AND 12B,NA,NA,HOODG,HOOD,COMBINATION OF AREA 12A AND AREA 12B,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9068,3,M,3M10412X4  X12A,1,AREA 12A & AREA 12B,NA,NA,HOODG,HOOD,12A COMBINED WITH 12B,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9069,3,M,3M10412X4  X12B,1,AREA 12B & AREA 12A,NA,NA,HOODG,HOOD,12B COMBINED WITH 12A,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9070,3,M,3M10412X5  X12C,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9071,3,M,3M10412X5  X12H,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9072,3,M,3M105,1,SO PUGET SOUND TERML,NA,NA,SPSG,SPS,SO.PUGET SOUND TERMINAL(10 10A-10G 11 11A 13 13A-13K)-COMMERC.,SPS,SPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9073,3,M,3M105  X1,1,10 AND 11,NA,NA,MPSG,MPS,COMBINATION OF COMMERCIAL AREAS 10 & 11,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9074,3,M,3M105  X1  X10,1,10 PLUS 11,NA,NA,MPSG,MPS,COMMERCIAL AREA 10 COMBINED WITH AREA 11,MPS,MPSG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
