OWNER NAME,NMFS ID,AFA COOP ID,COOP NAME,VESSEL NAME,ADFG,CG NUM,VESSEL AFA PERMIT,ADDRESS 1,ADDRESS 2,CITY,State,Zip
"AMERICAN TRIUMPH, LLC",13226,200,AFA CATCHER PROCESSORS,AMERICAN TRIUMPH,60660,646737,4055,"2025 1ST AVE, STE 900","SEATTLE, WA 98121",SEATTLE,WA,98121
"ARCTIC FJORD, INC.",67,200,AFA CATCHER PROCESSORS,ARCTIC FJORD,57450,940866,3396,2727 ALASKAN WAY PIER 69,"SEATTLE, WA 98121",SEATTLE,WA,98121
"ARCTIC STORM, INC.",69,200,AFA CATCHER PROCESSORS,ARCTIC STORM,54886,903511,2943,2727 ALASKAN WAY PIER 69,"SEATTLE, WA 98121",SEATTLE,WA,98121
"ALASKA TRAWL FISHERIES, INC.",28,200,AFA CATCHER PROCESSORS,ENDURANCE,57201,592206,3360,"4039 21ST AVE W, STE 404","SEATTLE, WA 98199",SEATTLE,WA,98199
"HLTA, LLC",50484,200,AFA CATCHER PROCESSORS,HIGHLAND LIGHT,56974,577044,3348,2025 FIRST AVE SUITE 900,SUITE 900,SEATTLE,WA,98121
TRIDENT SEAFOODS CORPORATION,8184,200,AFA CATCHER PROCESSORS,ISLAND ENTERPRISE,59503,610290,3870,ATTN ALASKA SUPPORT,5303 SHILSHOLE AVE NW,SEATTLE,WA,98107
"KATIE ANN, LLC",13222,200,AFA CATCHER PROCESSORS,KATIE ANN,55301,518441,1996,"2025 1ST AVE, STE 900","SEATTLE, WA 98121",SEATTLE,WA,98121
TRIDENT SEAFOODS CORPORATION,8184,200,AFA CATCHER PROCESSORS,KODIAK ENTERPRISE,59170,579450,3671,ATTN ALASKA SUPPORT,5303 SHILSHOLE AVE NW,SEATTLE,WA,98107
"NORTHERN EAGLE, LLC",13221,200,AFA CATCHER PROCESSORS,NORTHERN EAGLE,56618,506694,3261,"2025 1ST AVE, STE 900","SEATTLE, WA 98121",SEATTLE,WA,98121
"GLACIER FISH CO., LLC",431,200,AFA CATCHER PROCESSORS,NORTHERN GLACIER,48075,663457,661,2320 WEST COMMODORE WAY STE 200,"SEATTLE, WA 98199",SEATTLE,WA,98199
"C/P NORTHERN HAWK, LLC",93887,200,AFA CATCHER PROCESSORS,NORTHERN HAWK,60795,643771,4063,5470 SHILSHOLE AVE NW STE 400,"SEATTLE, WA 98107",SEATTLE,WA,98107
"NORTHERN JAEGER, LLC",13225,200,AFA CATCHER PROCESSORS,NORTHERN JAEGER,60202,521069,3896,"2025 1ST AVE, STE 900","SEATTLE, WA 98121",SEATTLE,WA,98121
"OCEAN PEACE, INC.",451,200,AFA CATCHER PROCESSORS,OCEAN PEACE,55767,677399,2134,4201 21ST AVE W,"SEATTLE, WA 98199",SEATTLE,WA,98199
OCEAN ROVER LLC,28222,200,AFA CATCHER PROCESSORS,OCEAN ROVER,56987,552100,3442,"2025 1ST AVE, STE 900","SEATTLE, WA 98121",SEATTLE,WA,98121
"GLACIER FISH CO., LLC",431,200,AFA CATCHER PROCESSORS,PACIFIC GLACIER,56991,933627,3357,2320 WEST COMMODORE WAY STE 200,"SEATTLE, WA 98199",SEATTLE,WA,98199
TRIDENT SEAFOODS CORPORATION,8184,200,AFA CATCHER PROCESSORS,SEATTLE ENTERPRISE,56789,904767,3245,ATTN ALASKA SUPPORT,5303 SHILSHOLE AVE NW,SEATTLE,WA,98107
STARBOUND LLC,51326,200,AFA CATCHER PROCESSORS,STARBOUND,57621,944658,3414,2157 N NORTHLAKE WAY SUITE 210,"SEATTLE, WA 98103",SEATTLE,WA,98103
TRIDENT SEAFOODS CORPORATION,8184,200,AFA CATCHER PROCESSORS,U.S. ENTERPRISE,55125,921112,3004,ATTN ALASKA SUPPORT,5303 SHILSHOLE AVE NW,SEATTLE,WA,98107
"AJVS, INC.",15,300,AFA MOTHERSHIPS,EXCELLENCE,60958,967502,4111,333 1ST AVE W. ,"SEATTLE, WA 98119",SEATTLE,WA,98119
"GAS, LLC.",29041,300,AFA MOTHERSHIPS,GOLDEN ALASKA,52929,651041,1607,2200 ALASKAN WAY SUITE 420,"SEATTLE, WA 98121",SEATTLE,WA,98121
PHOENIX PROCESSOR LIMITED PARTNERSHIP,493,300,AFA MOTHERSHIPS,OCEAN PHOENIX,59463,296779,3703,333 1ST AVE W,"SEATTLE, WA 98119",SEATTLE,WA,98119
