"","ID","ocean.region","brood_year","release_year","Median.month.release","N.released","n_month","m.median","m.mean","m.sd","X2.5.","X5.","X10.","X25.","X50.","X75.","X90.","X95.","X97.5."
"100","Irongate_large","NCA",2000,2001,11,100702,4,2.44753054179584,2.44753054179584,0.382505036562939,1.76078908704079,1.82373563746796,1.94797275136237,2.18487227067839,2.44753054179584,2.72482572176652,2.94797745093118,3.07470914881771,3.21474354367744
"101","Irongate_large","NCA",2001,2002,11,92482,4,2.46422219436251,2.46422219436251,0.349339512313315,1.85691334279668,1.92122636662833,2.01999834306476,2.22219591253897,2.46422219436251,2.67344358397445,2.93391001133385,3.08243530421322,3.20609034177901
"102","Irongate_large","NCA",2002,2003,11,109711,4,2.59559705115902,2.59559705115902,0.408851910658992,1.88822252498477,2.0028436575844,2.11084210286797,2.31369251469162,2.59559705115902,2.89929536741654,3.17312420134722,3.30578454888474,3.43513975319737
"103","Irongate_large","NCA",2003,2004,11,48592,4,2.52989473341187,2.52989473341187,0.36680410666919,1.88496317342456,1.95575760813542,2.07583031637074,2.28993944790071,2.52989473341187,2.76354876590556,3.01705556523974,3.19194603160531,3.31417261396464
"104","Irongate_large","NCA",2004,2005,11,98752,4,2.70598482397276,2.70598482397276,0.416984140906065,1.98648045787777,2.09568377657186,2.18423315861646,2.40137479539347,2.70598482397276,3.03165366498135,3.28173728418525,3.38507193443949,3.48997817697932
"105","Irongate_large","NCA",2006,2007,11,103295,4,2.7168842264855,2.7168842264855,0.451196418970768,1.95934660451954,2.05366878005361,2.17584059909189,2.44951016096802,2.7168842264855,3.00751908062256,3.33752993625723,3.52353725347006,3.75500893385743
"106","Mad","NCA",1980,1981,5,45971,10,2.47366296081462,2.47366296081462,0.359852304623894,1.78940133212965,1.85467161870005,1.98736049943971,2.2032820400606,2.47366296081462,2.71399295982241,2.91851619498683,3.05422139654333,3.21578439644077
"107","Mad","NCA",1982,1983,6,41344,9,2.80172220913091,2.80172220913091,0.425485536361318,2.10225249038197,2.18141886221402,2.3013910509294,2.49878130644274,2.80172220913091,3.09354340186286,3.36154679995553,3.5570224641756,3.72401431553903
"108","Mad_large","NCA",1997,1998,12,15867,3,2.3888350030092,2.3888350030092,0.384165061771662,1.7084050379905,1.80608077989292,1.94782383800558,2.14209042545148,2.3888350030092,2.67387017703801,2.94201820989784,3.10572082930376,3.19783309721896
"109","Mad_large","NCA",2000,2001,11,10982,4,2.32194010614317,2.32194010614317,0.334102646389703,1.74473373579191,1.81264279792232,1.90695447443966,2.10008415664159,2.32194010614317,2.52920161786855,2.73690385228907,2.90156907591591,2.99036919075978
