Fishery,Year, PERMIT #,OWNER,SPECIES,,
AMD80,2011,528,V,6901 WEST ,Flathead So,1353899
AMD80,2011,528,V,6901 WEST ,Pacific Cod,1004056
AMD80,2011,528,V,6901 WEST ,Rock Sole,1089424
AMD80,2011,528,V,6901 WEST ,Yellowfin S,2674130
AMD80,2011,1311,V,580 NACHE ,Atka Macke,2968052
AMD80,2011,1311,V,580 NACHE ,Flathead So,167390
AMD80,2011,1311,V,580 NACHE ,Pacific Cod,1268313
AMD80,2011,1311,V,580 NACHE ,Pacific Oce ,998792
AMD80,2011,1311,V,580 NACHE ,Rock Sole,1005991
AMD80,2011,1311,V,580 NACHE ,Yellowfin S,3621450
AMD80,2011,1610,V,4257 24TH ,Atka Macke,408980
